# Native-speaker curated overrides: 「読み<TAB>表記」. Wins over the auto rules.
# May use non-常用 kanji or katakana where that is the natural standard spelling.
# --- batch 1 ---
あぶる	炙る
いせえび	伊勢海老
いてざ	射手座
いやす	癒やす
いんげんまめ	インゲン豆
えほうまき	恵方巻き
きなこ	きな粉
くせげ	くせ毛
ごまあぶら	ごま油
こんすい	昏睡
しおけ	塩気
ずぶぬれ	ずぶ濡れ
せあぶら	背脂
せっさたくま	切磋琢磨
たいやき	たい焼き
たきび	焚き火
だじゃれ	ダジャレ
ちゆりょく	治癒力
ときどき	時々
ともる	灯る
にきび	ニキビ
のちほど	後ほど
はんかく	半角
ほえる	吠える
ほしつ	保湿
ゆせん	湯せん
# --- batch 2: same-pattern sweep of remaining kana ---
# 常用外だが一般的な和語（動詞・形容詞）
あふれる	溢れる
うなる	唸る
うれしい	嬉しい
かゆい	痒い
しのぐ	凌ぐ
すねる	拗ねる
そろう	揃う
たたく	叩く
ぬらす	濡らす
はせる	馳せる
# 常用漢字だが自動で拾えなかった語（熟語・送り仮名）
うきわ	浮き輪
うぶげ	産毛
おたがい	お互い
けおとす	蹴落とす
けとばす	蹴飛ばす
けぶかい	毛深い
こわもて	強面
げどく	解毒
すあげ	素揚げ
すあな	巣穴
すまい	住まい
すもう	相撲
すれちがう	すれ違う
そいとげる	添い遂げる
そつえん	卒園
たんおん	単音
ちあい	血合い
ちぬり	血塗り
ちみどろ	血みどろ
てあみ	手編み
てほどき	手ほどき
てまきずし	手巻き寿司
どぶがわ	どぶ川
にうけ	荷受け
ぬぐいとる	拭い取る
ねぐせ	寝癖
ねもと	根元
みけん	眉間
# 常用外だが一般的な名詞（物・植物・魚介）
うろこ	鱗
うわさ	噂
そうめん	素麺
たちばな	橘
のれん	暖簾
ふすま	襖
べにしょうが	紅生姜
ひまわり	向日葵
れんこん	蓮根
さんま	秋刀魚
いよかん	伊予柑
# 動植物・外来寄りはカタカナ
あひる	アヒル
うさぎ	ウサギ
がちょう	ガチョウ
きつね	キツネ
きつつき	キツツキ
つつじ	ツツジ
のこぎり	ノコギリ
りんご	リンゴ
わかめ	ワカメ
# 衝突回避で表記を分ける
さびしい	寂しい
さみしい	淋しい
